BeginTime,SrcIP,DstIP,SrcPort,DstPort
2016-09-13T09:21:20.732Z,192.168.30.129,192.168.30.1,50899,1051
2016-09-13T09:21:20.732Z,192.168.30.129,192.168.30.1,50899,1054
2016-09-13T09:21:20.736Z,192.168.30.129,192.168.30.1,50899,1839
2016-09-13T09:21:20.740Z,192.168.30.129,192.168.30.1,50899,26214
2016-09-13T09:21:20.743Z,192.168.30.129,192.168.30.1,50899,4848
2016-09-13T09:21:20.746Z,192.168.30.129,192.168.30.1,50899,4321
2016-09-13T09:21:20.810Z,192.168.30.129,192.168.30.1,50898,1056
2016-09-13T09:21:20.818Z,192.168.30.129,192.168.30.1,50898,631
2016-09-13T09:21:20.826Z,192.168.30.129,192.168.30.1,50898,1782
2016-09-13T09:21:20.829Z,192.168.30.129,192.168.30.1,50898,2968
2016-09-13T09:21:20.833Z,192.168.30.129,192.168.30.1,50898,33899
2016-09-13T09:21:20.833Z,192.168.30.129,192.168.30.1,50898,88
2016-09-13T09:21:20.837Z,192.168.30.129,192.168.30.1,50898,27353
2016-09-13T09:21:20.841Z,192.168.30.129,192.168.30.1,50898,512
2016-09-13T09:21:20.844Z,192.168.30.129,192.168.30.1,50898,52869
2016-09-13T09:21:20.847Z,192.168.30.129,192.168.30.1,50898,4003
2016-09-13T09:21:20.911Z,192.168.30.129,192.168.30.1,50899,1056
2016-09-13T09:21:20.918Z,192.168.30.129,192.168.30.1,50899,631
2016-09-13T09:21:20.928Z,192.168.30.129,192.168.30.1,50899,1782
2016-09-13T09:21:20.931Z,192.168.30.129,192.168.30.1,50899,2968
2016-09-13T09:21:20.934Z,192.168.30.129,192.168.30.1,50899,33899
2016-09-13T09:21:20.936Z,192.168.30.129,192.168.30.1,50899,88
2016-09-13T09:21:20.939Z,192.168.30.129,192.168.30.1,50899,27353
2016-09-13T09:21:20.947Z,192.168.30.129,192.168.30.1,50899,52869
2016-09-13T09:21:20.947Z,192.168.30.129,192.168.30.1,50899,512
2016-09-13T09:21:20.953Z,192.168.30.129,192.168.30.1,50899,4003
2016-09-13T09:21:21.011Z,192.168.30.129,192.168.30.1,50898,9575
2016-09-13T09:21:21.019Z,192.168.30.129,192.168.30.1,50898,5910
2016-09-13T09:21:21.031Z,192.168.30.129,192.168.30.1,50898,5510
2016-09-13T09:21:21.033Z,192.168.30.129,192.168.30.1,50898,8652
2016-09-13T09:21:21.035Z,192.168.30.129,192.168.30.1,50898,1164
2016-09-13T09:21:21.037Z,192.168.30.129,192.168.30.1,50898,1434
2016-09-13T09:21:21.047Z,192.168.30.129,192.168.30.1,50898,541
2016-09-13T09:21:21.047Z,192.168.30.129,192.168.30.1,50898,3527
2016-09-13T09:21:21.047Z,192.168.30.129,192.168.30.1,50898,3168
2016-09-13T09:21:21.052Z,192.168.30.129,192.168.30.1,50898,10012
2016-09-13T09:21:21.117Z,192.168.30.129,192.168.30.1,50899,9575
2016-09-13T09:21:21.120Z,192.168.30.129,192.168.30.1,50899,5910
2016-09-13T09:21:21.133Z,192.168.30.129,192.168.30.1,50899,5510
2016-09-13T09:21:21.133Z,192.168.30.129,192.168.30.1,50899,8652
2016-09-13T09:21:21.136Z,192.168.30.129,192.168.30.1,50899,1164
2016-09-13T09:21:21.137Z,192.168.30.129,192.168.30.1,50899,1434
2016-09-13T09:21:21.140Z,192.168.30.129,192.168.30.1,50899,541
2016-09-13T09:21:21.148Z,192.168.30.129,192.168.30.1,50899,3168
2016-09-13T09:21:21.148Z,192.168.30.129,192.168.30.1,50899,3527
2016-09-13T09:21:21.150Z,192.168.30.129,192.168.30.1,50899,10012
2016-09-13T09:21:21.213Z,192.168.30.129,192.168.30.1,50898,5357
2016-09-13T09:21:21.220Z,192.168.30.129,192.168.30.1,50898,8193
2016-09-13T09:21:21.231Z,192.168.30.129,192.168.30.1,50898,5050
2016-09-13T09:21:21.234Z,192.168.30.129,192.168.30.1,50898,406
2016-09-13T09:21:21.236Z,192.168.30.129,192.168.30.1,50898,54045
2016-09-13T09:21:21.239Z,192.168.30.129,192.168.30.1,50898,514
2016-09-13T09:21:21.241Z,192.168.30.129,192.168.30.1,50898,4224
2016-09-13T09:21:21.249Z,192.168.30.129,192.168.30.1,50898,50006
2016-09-13T09:21:21.249Z,192.168.30.129,192.168.30.1,50898,1124
2016-09-13T09:21:21.252Z,192.168.30.129,192.168.30.1,50898,873
2016-09-13T09:21:21.314Z,192.168.30.129,192.168.30.1,50899,5357
2016-09-13T09:21:21.321Z,192.168.30.129,192.168.30.1,50899,8193
2016-09-13T09:21:21.331Z,192.168.30.129,192.168.30.1,50899,5050
2016-09-13T09:21:21.335Z,192.168.30.129,192.168.30.1,50899,406
2016-09-13T09:21:21.339Z,192.168.30.129,192.168.30.1,50899,54045
2016-09-13T09:21:21.341Z,192.168.30.129,192.168.30.1,50899,514
2016-09-13T09:21:21.344Z,192.168.30.129,192.168.30.1,50899,4224
2016-09-13T09:21:21.350Z,192.168.30.129,192.168.30.1,50899,1124
2016-09-13T09:21:21.350Z,192.168.30.129,192.168.30.1,50899,50006
2016-09-13T09:21:21.353Z,192.168.30.129,192.168.30.1,50899,873
2016-09-13T09:21:21.415Z,192.168.30.129,192.168.30.1,50898,56737
2016-09-13T09:21:21.422Z,192.168.30.129,192.168.30.1,50898,2048
2016-09-13T09:21:21.432Z,192.168.30.129,192.168.30.1,50898,1783
2016-09-13T09:21:21.435Z,192.168.30.129,192.168.30.1,50898,1046
2016-09-13T09:21:21.439Z,192.168.30.129,192.168.30.1,50898,7800
2016-09-13T09:21:21.442Z,192.168.30.129,192.168.30.1,50898,32778
2016-09-13T09:21:21.445Z,192.168.30.129,192.168.30.1,50898,5004
2016-09-13T09:21:21.450Z,192.168.30.129,192.168.30.1,50898,1044
2016-09-13T09:21:21.453Z,192.168.30.129,192.168.30.1,50898,10778
2016-09-13T09:21:21.455Z,192.168.30.129,192.168.30.1,50898,5555
2016-09-13T09:21:21.516Z,192.168.30.129,192.168.30.1,50899,56737
2016-09-13T09:21:21.523Z,192.168.30.129,192.168.30.1,50899,2048
2016-09-13T09:21:21.533Z,192.168.30.129,192.168.30.1,50899,1783
